"","Date","Year","Country","Area","Location"
"4471","1950",1950,"AUSTRALIA","Tasmania","Triabunna"
"4472","1950",1950,"SRI LANKA","Eastern Province","Heda Oya Estuary"
"4473","1950",1950,"SRI LANKA","Southern Province","Dodnduwa"
"4474","1950 - 1951",1950,"LIBERIA","Montserrado","Monrovia"
"4475","Summer 1950",1950,"INDONESIA","Jakarta Harbour","On rock near Yacht Club"
"4476","1950",1950,"USA","Florida","Jacksonville Beach, Duval County"
"4477","1950s",1950,"USA","Hawaii","Waikiki, O'ahu"
"4478","1950",1950,"PANAMA","Canal Zone","300 yards west of mouth of the Chagres River"
"4479","Summer 1950",1950,"GREECE","","Piraeus, Athens"
"4480","1950",1950,"SINGAPORE","Singapore Harbor",""
"4481","1950",1950,"NEW CALEDONIA","North Province","Voh, near meatworks"
"4482","Ca. 1950",1950,"NEW CALEDONIA","North Province","Mangalia Reef above Touho "
"4483","Ca. 1950",1950,"FIJI","","Near Lautoka"
"4484","Dec-1949",1949,"AUSTRALIA","Victoria","Seaholme"
"4485","20-Nov-1949",1949,"AUSTRALIA","New South Wales","Kurnell, Botany Bay "
"4486","12-Nov-1949",1949,"AUSTRALIA","Victoria","Port Phillip Bay"
"4487","28-Aug-1949",1949,"AUSTRALIA","Queensland","Yorkey’s Knob Beach near Cairns"
"4488","28-Aug-1949",1949,"AUSTRALIA","Queensland","Yorkey’s Knob Beach near Cairns"
"4489","17-Aug-1949",1949,"ITALY","Tuscany","Elba Island"
"4490","16-Aug-1949",1949,"AUSTRALIA","Tasmania","Flinders Island"
"4491","Reported 10-Aug-1949",1949,"ITALY","Calabria","Cosenza"
"4492","07-July-1949",1949,"IRAN","Shatt-el-Arab River",""
"4493","28-Jul-1949",1949,"IRAN","Shatt-al-Arab River","Bashamir"
"4494","25-Jul-1949",1949,"USA","South Carolina","Oketee River, Jasper County"
"4495","16-Jul-1949",1949,"USA","California","10 miles off Redondo Beach, Los Angeles County"
"4496","13-Jun-1949",1949,"CHINA","","Between Tientsin & Hong Kong"
"4497","16-May-1949",1949,"AUSTRALIA","Western Australia","Broome"
"4498","13-May-1949",1949,"AUSTRALIA","New South Wales","Nelson's Bay"
"4499","18-Apr-1949",1949,"AUSTRALIA","Queensland","Nerang River, Southpot"
"4500","17-Apr-1949",1949,"AUSTRALIA","Queensland","Ellis Beach, 20 miles from Cairns"
"4501","13-Apr-1949",1949,"MEXICO","Tamaulipas","Miramar Beach, Tampico"
"4502","Mar-1949 or Apr-1949",1949,"AUSTRALIA","South Australia","18 miles south of Port Augusta"
"4503","23-Jan-1949",1949,"AUSTRALIA","New South Wales","Bar Beach, Newcastle "
"4504","14-Jan-1949",1949,"AUSTRALIA","New South Wales","Off North Bondi"
"4505","13-Jan-1949",1949,"AUSTRALIA","New South Wales","Mona Vale, near Sydney"
"4506","05-Jan-1949",1949,"AUSTRALIA","Western Australia","Leighton Beach, North Fremantle"
"4507","1949-1950",1949,"ITALY","Tyrrhenian Sea","San Vincenzo"
"4508","1949",1949,"NEW GUINEA","Calvados Archipelago","Sabara Island, Calvados Chain 11.4S, 153E"
"4509","1949",1949,"PAPUA NEW GUINEA","New Ireland Province","Kulengei, southeast of Kalili, Kavieng"
"4510","1949",1949,"PAPUA NEW GUINEA","New Ireland Province","Enang , Kavieng"
"4511","1949",1949,"PAPUA NEW GUINEA","Bougainville (North Solomons)","Orava (Aravo) Islet , near Kieta. "
"4512","1949",1949,"PAPUA NEW GUINEA","Bougainville (North Solomons)","Sohano Island, Buka Passage"
"4513","1949",1949,"NEW GUINEA","Abau Sub District, Central Province","Kerpuna "
"4514","27-Dec-1948",1948,"AUSTRALIA","Western Australia","Lancelin Island"
"4515","26-Dec-1948",1948,"AUSTRALIA","Queensland","King’s Beach, Caloundra"
"4516","14-Dec-1948",1948,"IRAN","Shat-Al-Arab River","Abadan"
"4517","14-Dec-1948",1948,"CUBA","Guantanamo Province","10 miles off Cape Maisi"
"4518","10-Dec-1948",1948,"AUSTRALIA","Queensland","Rib Reef off Townsville"
"4519","05-Dec-1948",1948,"NORTH PACIFIC OCEAN","Between Kwajalein Atoll & Johnston Island","500 nautical miles southwest of Johnston Island"
"4520"," 18-Nov-1948",1948,"AUSTRALIA","Torres Strait","Saibai Island, 80 miles north of Cape York"
"4521","22-Sep-1948",1948,"GREECE","Attica","Keratsini "
"4522","19-Sep-1948",1948,"USA","Hawaii","Off Makapauu Point, O'ahu"
"4523","19-Sep-1948",1948,"USA","Hawaii","Off Makapauu Point, O'ahu"
"4524","Reported 17-Sep-1848",1848,"TURKEY","Adana Province","Yumurtalik"
"4525","15-Sep-1948",1948,"MID ATLANTIC OCEAN","","Bound from New York to London in ballast"
"4526","02-Sep-1948",1948,"IRAN","Bandar Ma’shur sea inlet",""
"4527","19-Aug-1948",1948,"IRAN","Shatt-al-Arab River",""
"4528","03-Aug-1948",1948,"IRAN","Shatt-al-Arab River","Bashamir"
"4529","Aug-1948",1948,"BAHAMAS","Bimini Islands","Lerner Marine Laboratory"
"4530","01-Jul-1948",1948,"USA","US Virgin Islands","St. John, Genti Bay"
"4531","Reported 06-Jun-1948",1948,"NORTHERN MARIANA ISLANDS","Saipan",""
"4532","10-May-1948",1948,"IRAN","Shatt-al-Arab River",""
"4533","10-Apr-1948",1948,"SOUTH AFRICA","Western Cape Province","Gansbaai"
"4534","Reported 13-Mar-1948 ""Bitten last weekend",1948,"KENYA","Coast Province","Mombasa"
"4535","11-Mar-1948",1948,"SENEGAL","Cap Vert Peninsula","Between Joal & Sangomar near Dakar"
"4536","Mar-1948",1948,"PAPUA NEW GUINEA","New Ireland Province, Bismarck Archipelago","Punam Passage, Rataman census div, Namatanai"
"4537","13-Feb-1948",1948,"USA","Texas","Gulf of Mexico between Brownsville & Carmen, Mexico"
"4538","12-Feb-1948",1948,"AUSTRALIA","New South Wales","Stockton Beach, Newcastle"
"4539","25-Jan-1948",1948,"AUSTRALIA","New South Wales","Mona Vale, near Sydney"
"4540","Summer 1948",1948,"USA","Florida","Biscayne Bay"
"4541","1948",1948,"NEW GUINEA","Morobe Province","Finschafen  "
"4542","1948",1948,"PAPUA NEW GUINEA","Bougainville (North Solomons)","Tung Island, off the west coast of Buka Island"
"4543","1948",1948,"SOUTH AFRICA","Western Cape Province","False Bay"
"4544","21-Dec-1947",1947,"AUSTRALIA","New South Wales","Watson Taylor's Lake, 25 miles south of Port Macquarie"
"4545","Reported 15-Dec-1947",1947,"SOUTH AFRICA","KwaZulu-Natal","Durban"
"4546","Dec-1947",1947,"SENEGAL","","Tiaroye, near Dakar, Cap Vert Peninsula"
"4547","23-Nov-1947",1947,"AUSTRALIA","South Australia","3 miles out to sea off Glenelg"
"4548","14-Nov-1947",1947,"AUSTRALIA","New South Wales","Knobby's Beach, Newcastle"
"4549","14-Nov-1947",1947,"AUSTRALIA","New South Wales","Knobby's Beach, Newcastle"
"4550","08-Nov-1947",1947,"AUSTRALIA","New South Wales","Maria River, Port Macquarie, 12 miles from river mouth"
"4551","08-Nov-1947",1947,"AUSTRALIA","New South Wales","Maria River, Port Macquarie, 12 miles from river mouth"
"4552","Nov-1947",1947,"AUSTRALIA","Queensland","Moreton Bay"
"4553","28-Oct-1947",1947,"AUSTRALIA","Northern Territory","Mornington Island, Gulf of Carpentaria"
"4554","10-Oct-1947",1947,"BRAZIL","Pernambuco","Piedade"
"4555","04-Aug-1947",1947,"USA","Florida","In a canal 10 miles north of St Augustine"
"4556","Reported 27-Jul-1947",1947,"USA","California","Santa Monica, Los Angeles County"
"4557","Reported 24-Jul-1947",1947,"AUSTRALIA","Northern Territory","Darwin Harbour"
"4558","15-Jul-1947",1947,"SOUTH AFRICA","KwaZulu-Natal","North Beach, Durban"
"4559","Jul-1947",1947,"GREECE","Carpathian Sea","Dodecanese Islands"
"4560","27-Jun-1947",1947,"USA","Hawaii","Off Waianae, O'ahu"
"4561","16-Jun-1947",1947,"AUSTRALIA","New South Wales","Coogee"
"4562","Reported 13-May-1947",1947,"KENYA","Coast Province","Kilindini Harbor, Mombasa"
"4563","20-Apr-1947",1947,"SOUTH AFRICA","KwaZulu-Natal","Country Club Beach, Durban"
"4564","11-Apr-1947",1947,"SOUTH AFRICA","KwaZulu-Natal","Rocket Hut Beach, Durban"
"4565","06-Apr-1947",1947,"AUSTRALIA","New South Wales","Palm Beach"
"4566","Apr-1947",1947,"PACIFIC OCEAN","","Off Central American coast at 8N.79W"
"4567","12-Mar-1947",1947,"SOUTH AFRICA","KwaZulu-Natal","Country Club Beach, Durban"
"4568","09-Mar-1947",1947,"SOUTH AFRICA","KwaZulu-Natal","Country Club Beach, Durban"
"4569","23-Feb-1947",1947,"AUSTRALIA","Queensland","Palm Beach"
"4570","Reported 06-Feb-1947",1947,"BAHAMAS","New Providence Island","Cable Beach"
"4571","Feb-1947",1947,"BRAZIL","Rio de Janeiro","Copacabana"
"4572","14-Jan-1947",1947,"AUSTRALIA","New South Wales","Berry's Bay, Sydney Harbour"
"4573","05-Jan-1947",1947,"SOUTH AFRICA","KwaZulu-Natal","Country Club Beach, Durban"
"4574","28-Dec-1946",1946,"AUSTRALIA","South Australia","Glenelg"
"4575","Reported 24-Dec-1946",1946,"AUSTRALIA","Queensland","Auckland Creek, Gladstone"
"4576","20-Nov-1946",1946,"AUSTRALIA","Torres Strait","40 miles off Thursday Island"
"4577","Reported 26-Oct-1946",1946,"MARSHALL ISLANDS","Kwajalein",""
"4578","14-Oct-1946",1946,"AUSTRALIA","New South Wales","Mark’s Point, Swan Bay, Lake Macquarie"
"4579","24-Aug-1946",1946,"ISRAEL","Gaza","Jura Village"
"4580","18-Aug-1946",1946,"AUSTRALIA","Queensland","Ellis Beach, 20 miles from Cairns"
"4581","18-Jul-1946",1946,"IRAN","Khuzestan Province","Dorquain, on the Karun River"
"4582","18-Jul-1946",1946,"IRAN","Khuzestan Province","Ahvaz, on the Karun River, 275 km from the sea"
"4583","28-Jun-1946",1946,"INDIA","","Chennai"
"4584","09-May-1946",1946,"TANZANIA","Dar-es-Salaam ","Dar-es-Salaam harbor"
"4585","19-Apr-1946",1946,"AUSTRALIA","Queensland","Trinity Beach, Cairns"
"4586","Apr-1946",1946,"AUSTRALIA","South Australia","Port Newby"
"4587","20-Mar-1946",1946,"AUSTRALIA","South Australia","Grange"
"4588","16-Feb-1946",1946,"SOUTH AFRICA","KwaZulu-Natal","South Beach, Durban"
"4589","10-Feb-1946",1946,"AUSTRALIA","Western Australia","City Beach, Perth"
"4590","10-Feb-1946",1946,"SOUTH AFRICA","KwaZulu-Natal","Battery Beach, Durban"
"4591","24-Jan-1946",1946,"SOUTH AFRICA","KwaZulu-Natal","Battery Beach, Durban"
"4592","24-Jan-1946",1946,"SOUTH AFRICA","KwaZulu-Natal","Battery Beach, Durban"
"4593","17-Jan-1946",1946,"AUSTRALIA","Queensland","Townsville"
"4594","07-Jan-1946",1946,"SOUTH AFRICA","Western Cape Province","False Bay"
"4595","05-Jan-1946",1946,"AUSTRALIA","New South Wales","Oatley Bay near Como, George’s River"
"4596","01-Jan-1946",1946,"SOUTH AFRICA","Eastern Cape Province","Pollock Beach, Port Elizabeth"
"4597","1946",1946,"SOUTH AFRICA","Western Cape Province","Plettenberg Bay"
"4598","1946",1946,"SOUTH AFRICA","Western Cape Province","Table Bay"
"4599","1946",1946,"PERSIAN GULF","""Head of the Gulf""",""
"4600","23-Sep-1945",1945,"HONG KONG","","Tweed Beach"
"4601","19-Sep-1945",1945,"OKINAWA","",""
"4602","16-Sep-1945",1945,"JAPAN","Ryukyu",""
"4603","06-Sep-1945",1945,"IRAN","Shatt-al-Arab River","Bashamir"
"4604","19-Aug-1945",1945,"IRAN / IRAQ","Shatt-al-Arab River","Vicinity of Abadan"
"4605","06-Aug-1945",1945,"USA"," North Carolina","Ocracoke"
"4606","30-Jul-1945",1945,"PHILIPPINES","In transit between Tinian and Leyte","200 miles Leyte"
"4607","Jul-1945",1945,"JAVA","Northern Java","Off Cheribon"
"4608","15-Jun-1945",1945,"AUSTRALIA","Queensland","Trinity Beach, Cairns"
"4609","08-May-1945",1945,"USA","North Carolina","Ocracoke Inlet, Carteret County"
"4610","06-Mar-1945",1945,"SOUTH AFRICA","KwaZulu-Natal","Scottburgh"
"4611","05-Feb-1945",1945,"ISRAEL","Tel Aviv",""
"4612","1945",1945,"JAMAICA","",""
"4613","1945",1945,"CUBA","Havana Province","Cojimar"
"4614","1945",1945,"PANAMA","Colon Province","Mouth of Rio Dudio, 50 miles west of the city of Colon"
"4615","1945",1945,"IRAQ","Basrah","Shatt-al Arab River"
"4616","Between 18 & 22-Dec 1944",1944,"PHILIPPINES","300 miles east of Luzon","USS Hull DD-350 was one of 3 destroyers that capsized in Typhoon Cobra"
"4617","02-Dec-1944",1944,"USA","Florida","3 miles north of the inlet at Palm Beach"
"4618","08-Nov-1944",1944,"SIERRA LEONE","Western Area","Freetown"
"4619","01-Nov-1944",1944,"AUSTRALIA","Queensland","Maroochydore Beach"
"4620","26-Oct-1944",1944,"PHILIPPINES","",""
"4621","26-Oct-1944",1944," PHILIPPINES","Bernardino Strait near Gulf of Leyte",""
"4622","25-Oct-1944",1944,"PHILIPPINES","Off Samar Island in the Gulf of Leyte",""
"4623","25-Oct-1944",1944,"PHILIPPINES","","Off Cape Engano"
"4624","Reported 23-Oct-1944",1944,"AUSTRALIA","Queensland","Tewantin"
"4625","03-Sep-1944",1944,"USA","Maryland","North Beach"
"4626","Sep-1944",1944,"CARIBBEAN SEA","",""
"4627","20-Aug-1944",1944,"SOUTH AFRICA","KwaZulu-Natal","Margate"
"4628","22-Jul-144",1944,"SOUTH AFRICA","Western Cape Province","Hartenbos"
"4629","23-Jun-1944",1944,"NORTH PACIFIC OCEAN","","Aircraft went down on 6/12/1944. He survived on raft for 11 days and was 150 miles off Guam when rescued"
"4630","31-May-1944",1944,"USA","Florida","Atlantic Beach, Mayport,  Duval County"
"4631","Reported 24-May-1944",1944,"SAMOA","",""
"4632","04-May-1944",1944,"PANAMA","Caribbean Sea",""
"4633","Apr-1944",1944,"NICARAGUA","Lake Nicaragua (fresh water)",""
"4634","26-Mar-1944",1944,"SOUTH AFRICA","KwaZulu-Natal","Country Club Beach, Durban"
"4635","26-Mar-1944",1944,"SOUTH AFRICA","KwaZulu-Natal","North Beach, Durban"
"4636","14-Mar-1944",1944,"SOUTH AFRICA","KwaZulu-Natal","Country Club Beach, Durban"
"4637","27-Feb-1944",1944,"SOUTH AFRICA","Western Cape Province","False Bay"
"4638","18-Feb-1944",1944,"INDIA","","Triplicane Beach, Chennai"
"4639","20-Jan-1944",1944,"SOUTH AFRICA","KwaZulu-Natal","North Beach, Durban"
"4640","16-Jan-1944",1944,"AUSTRALIA","Western Australia","Cottesloe, Perth"
"4641","14-Jan-1944",1944,"AUSTRALIA","New South Wales","First Beach, Forster"
"4642","04-Jan-1944",1944,"SOUTH AFRICA","KwaZulu-Natal","North Beach, Durban"
"4643","Some time between Apr & Nov-1944",1944,"SOUTH PACIFIC OCEAN","",""
"4644","1944",1944,"ITALY","Adriatic Sea",""
"4645","1944",1944,"NEW GUINEA","Pacific Ocean",""
"4646","12-Dec-1943",1943,"SOUTH AFRICA","KwaZulu-Natal","Inyoni Rocks, Amazimtoti "
"4647","04-Dec-1943",1943,"USA","South Carolina","Off Charleston"
"4648","21-Nov-1943",1943,"SOUTH AFRICA","Eastern Cape Province","Kei River Mouth"
"4649","11-Nov-1943",1943,"PACIFIC OCEAN","Near the Fiji Islands","22º08'S  : 178º06'W"
"4650","26-Oct-1943",1943,"USA","Florida","Victim was on said to be on tanker that collided off Florida coast on 10-20-1943"
"4651","23-Sep-1943",1943,"PANAMA","Gulf of Panama","North shore of Rey Island, Las Perlas archipelago"
"4652","Aug-1943",1943,"ITALY","40 miles south of Naples ","Tyrrhenian Sea"
"4653","18-Jul-1943",1943,"USA","Florida","40 miles off Islamorada, near Cay Sal"
"4654","Jul-1943",1943,"PORTUGAL","","Sines"
"4655","Jul-1943",1943,"MEXICO","Veracruz","Villa del Mar Beach, Veracruz"
"4656","16-Jun-1943",1943,"AUSTRALIA","Tasmania","Triabunna"
"4657","27-May-1943",1943,"PACIFIC OCEAN","",""
"4658","17-May-1943",1943,"CENTRAL PACIFIC","","68 miles east of Wallis Island"
"4659","17-May-1943",1943,"CENTRAL PACIFIC","","68 miles east of Wallis Island"
"4660","14-May-1943",1943,"AUSTRALIA","Queensland","Off Brisbane"
"4661","Reported 01-May-1943",1943,"INDIAN OCEAN","",""
"4662","5-Apr-1943",1943,"USA","Hawaii","3 miles from shore off McGregor Point, Maui"
"4663","21-Mar-1943",1943,"SOUTH AFRICA","KwaZulu-Natal","North Beach, Durban"
"4664","14-Mar-1943",1943,"SIERRA LEONE","",""
"4665","02-Mar-1943",1943,"BRAZIL","","Near the Abrolhos Archipelago "
"4666","02-Mar-1943 to 07-Mar-1943",1943,"PAPUA NEW GUINEA","Morobe Province"," Huon Gulf"
"4667","26-Jan-1943",1943,"PACIFIC OCEAN","Northwest of Papua New Guinea",""
"4668","Summer 1943",1943,"MEXICO","Veracruz","Villa del Mar Beach, Veracruz"
"4669","1943",1943,"SOLOMON ISLANDS","","Guadalcanal"
"4670","1943",1943,"IRAQ","","River Tigris"
"4671","Fall 1943",1943,"USA","Hawaii","Midway Island, Northwestern Hawaiian Islands"
"4672","Fall 1943",1943,"USA","Hawaii","Midway Island, Northwestern Hawaiian Islands"
"4673","1943",1943,"USA","Hawaii","Midway, Northwestern Hawaiian Islands"
"4674","26-Dec-1942",1942,"AUSTRALIA","New South Wales","Bantry Bay, near Ironstone Point, Middle Harbor, Sydney"
"4675","28-Nov-1942",1942,"SOUTH AFRICA","KwaZulu-Natal","50 km off St. Lucia"
"4676","25-Nov-1942",1942,"SOUTH AFRICA","KwaZulu-Natal","Umkomaas"
"4677","16-Nov-1942",1942,"SOLOMON ISLANDS","","Battle of Guadalcanal"
"4678","21-Nov-1942",1942,"INDIAN OCEAN","","Bound from Cape Town for St. Helena"
"4679","13-Nov-1942",1942,"SOLOMON ISLANDS","","Off Guadalcanal"
"4680","13-Nov-1942",1942,"SOLOMON ISLANDS / VANUATU","","North of Guadalcanal, Solomon Islands while enroute to Vanuatu"
"4681","12-Nov-1942",1942,"SOLOMON ISLANDS","","Off Savo Island"
"4682","01-Nov-1942",1942,"SOUTH AFRICA","Western Cape Province","Clifton"
"4683","Nov-1942",1942,"PACIFIC OCEAN","Between Hawaii and U.S.A.",""
"4684","12-Oct-1942",1942,"SOLOMON ISLANDS","Makora-Ulawa Province","Cape Esperance (near Savo Islands)"
"4685","30-Sep-1942",1942,"ATLANTIC OCEAN","04.05N-13.23W",""
"4686","12-Sep-1942",1942,"ATLANTIC OCEAN","","360 miles north of Ascension Island"
"4687","12-Sep-1942",1942,"AUSTRALIA","Queensland","Trinity Beach, 17 km northwast of Cairns"
"4688","11-Sep-1942 to 16-Sep-1942",1942,"SOUTHWEST PACIFIC OCEAN","","Southwestern Pacific Base"
"4689","8-Aug-1942",1942,"SOLOMON ISLANDS","",""
"4690","12-Jul-1942",1942,"ATLANTIC OCEAN","",""
"4691","06-Jul-1942",1942,"ITALY","Liguria","Savona"
"4692","Reported 11-Jun-1942",1942,"BAY OF BENGAL","",""
"4693","Reported 08-Jun-1942",1942,"BRAZIL","",""
"4694","04-Jun-1942",1942,"USA","Midway Atoll",""
"4695","09-May-1942",1942,"AUSTRALIA","Queensland","Great Barrier Reef, off Cairns"
"4696","05-Apr-1942",1942,"INDIAN OCEAN","West of Ceylon (Sri  Lanka)","300 nm from shore"
"4697","08-Mar-1942",1942,"CUBA","Guantanamo Province","30 nm southeast of Guantanamo Bay"
"4698","04-Mar-1942",1942,"AUSTRALIA","New South Wales","George’s River"
"4699","18-Jan-1942",1942,"AUSTRALIA","New South Wales","Fairy Bower"
"4700","04-Jan-1942",1942,"AUSTRALIA","New South Wales","Egg Rock, Middle Harbor, Sydney"
"4701","Jan-1942",1942,"AUSTRALIA","New South Wales","Fairy Bower, near North Steyne"
"4702","1942",1942,"INDONESIA","East Java","Surabaya"
"4703","Winter 1942",1942,"AUSTRALIA","Tasmania","Off Big Friar Island"
"4704","Summer 1942",1942,"PHILIPPINES","Camiguin Island","2 kilometres off Sagay"
"4705","1942",1942,"SOUTH AFRICA","Western Cape Province","Simon’s Bay"
"4706","1942",1942,"SOUTH AFRICA","Western Cape Province","Simon's Bay"
"4707","1942",1942,"BAHAMAS","Cay Sal Bank","Anchored off the largest island in the group"
"4708","1942",1942,"MID-PACIFC OCEAN","(Southwestern Pacific)",""
"4709","1942",1942,"SOUTHWEST PACIFIC OCEAN","",""
"4710","1942",1942,"PANAMA","Panama City","Bella Vista Beach"
"4711","07-Dec-1941",1941,"SOUTH ATLANTIC OCEAN","",""
"4712","03-Dec-1941",1941,"AUSTRALIA","Western Australia","Carnarvon"
"4713","27-Nov-1941",1941,"SOUTH ATLANTIC OCEAN","Off Libya",""
"4714","27-Nov-1941",1941,"SOUTH ATLANTIC OCEAN","Off Libya",""
"4715","25-Nov-1941",1941,"SOUTH ATLANTIC OCEAN","North of Pernambuco, Brazil",""
"4716","19-Nov-1941",1941,"AUSTRALIA","Western Australia","Shark Bay"
"4717","25-Sep-1941",1941,"CARIBBEAN SEA","","125 nm north of Aruba"
"4718","Reported 21-Aug-1941",1941,"USA","New York","Montauk"
"4719","05-Aug-1941",1941,"AUSTRALIA","New South Wales","Parramata River"
"4720","01-Aug-1941",1941,"USA","South Carolina","Sullivan's Island at entrance to Charleston Harbor"
"4721","22-Jul-1941",1941,"USA","New Jersey","Brielle, Monmouth County (Offshore)"
"4722","01-Jul-1941",1941,"USA","Hawaii","Nankuli, O'ahu"
"4723","15-Jun-1941",1941,"USA","New York","15 miles south of Jones Inlet"
"4724","Jun-1941",1941,"PACIFIC OCEAN","Off coast of Ecuador","Between Esmeraldas & Salinas"
"4725","24-Mar-1941",1941,"SOUTH ATLANTIC OCEAN","","750 miles off the African coast"
"4726","09-Mar-1941",1941,"USA","California","Santa Monica, Los Angeles County"
"4727","13-Feb-1941",1941,"AUSTRALIA","New South Wales","Wollongong"
"4728","01-Feb-1941",1941,"JAMAICA","Trelawney Province","Bogue (near Falmouth)"
"4729","29-Jan-1941",1941,"SOUTH ATLANTIC OCEAN","In Convoy OB 274","Off Sierra Leone"
"4730","Jan-1941",1941,"ATLANTIC OCEAN","",""
"4731","1941",1941,"SOLOMON ISLANDS","New Georgia","Munda"
"4732","1941",1941,"IRAN","Khuzestan Province","Ahvaz, on the Karun River"
"4733","1941",1941,"IRAN","Khuzestan Province","Ahvaz, on the Karun River"
"4734","1941",1941,"IRAN","Khuzestan Province","Ahvaz, on the Karun River"
"4735","1941",1941,"IRAN","Khuzestan Province","Ahvaz, on the Karun River"
"4736","1941",1941,"IRAN","Khuzestan Province","Ahvaz, on the Karun River"
"4737","1941",1941,"PAPUA NEW GUINEA","","Gaire Village, between Rigo & Port Moresby"
"4738","28-Dec-1940",1940,"AUSTRALIA","New South Wales","Stockton Beach, Newcastle"
"4739","20-Dec-1940",1940,"SOUTH AFRICA","KwaZulu-Natal","Inyoni Rocks, South Coast"
"4740","Reported 19-Dec-1940",1940,"AUSTRALIA","Queensland","Double Island Beach"
"4741","10-Dec-1940",1940,"AUSTRALIA","Northern Territory","Darwin"
"4742","Sep-1940",1940,"PANAMA","Panama Bay (Pacific Ocean)","Otoque Island"
"4743","13-Jul-1940",1940,"USA","South Carolina","Folly Beach, Charleston County"
"4744","13-Jul-1940",1940,"USA","South Carolina","Folly Beach, Charleston County"
"4745","30-Jun-1940",1940,"USA","North Carolina","Holden Beach, Brunswick County"
"4746","31-Mar-1940",1940,"SOUTH AFRICA","KwaZulu-Natal","Danger Pool, Winkelspruit, South Coast"
"4747","20-Mar-1940",1940,"AUSTRALIA","New South Wales","Gerringong"
"4748","22-Feb-1940",1940,"SOUTH AFRICA","KwaZulu-Natal","Inyoni Rocks, South Coast"
"4749","20-Feb-1940",1940,"AUSTRALIA","New South Wales","Sydney Harbour"
"4750","4-Feb-1940",1940,"AUSTRALIA","New South Wales","North Brighton, Botany Bay"
"4751","29-Jan-1940",1940,"AUSTRALIA","Queensland","Brisbane River"
"4752","23-Jan-1940",1940,"AUSTRALIA","New South Wales","North Brighton, Botany Bay"
"4753","15-Jan-1940",1940,"AUSTRALIA","Queensland","Surfers Paradise, near Southport"
"4754","07-Jan-1940",1940,"SOUTH AFRICA","KwaZulu-Natal","Warner Beach, South Coast"
"4755","01-Jan-1940",1940,"AUSTRALIA","Queensland","Malagil, Barrier Reef"
"4756","Ca. 1940",1940,"SLOVENIA","Adriatic Sea","Koper"
"4757","1940",1940,"NEW GUINEA","Bwagaoia","Bagalina, North coast Misima Island"
"4758","1940",1940,"PAPUA NEW GUINEA","Western Papuan Gulf","Kerema "
"4759","1940",1940,"SOUTH AFRICA","Eastern Cape Province","Kidd's Beach"
"4760","1940",1940,"SOUTH AFRICA","KwaZulu-Natal","Winkelspruit"
"4761","1940",1940,"SOUTH AFRICA","Eastern Cape Province","Kowie River Mouth, Port Alfred"
"4762","28-Dec-1939",1939,"AUSTRALIA","New South Wales","Cabramatta Creek, George’s River "
"4763","14-Dec-1939",1939,"AUSTRALIA","Queensland","Rubbish Dump Creek, Mackay"
"4764","23-Nov-1939",1939,"AUSTRALIA","New South Wales","Wollongong"
"4765","11-Nov-1939",1939,"AUSTRALIA","New South Wales","Maroubra"
"4766","09-Nov-1939",1939,"AUSTRALIA","New South Wales","Wollongong"
"4767","06-Nov-1939",1939,"AUSTRALIA","New South Wales","Wollongong"
"4768","Reported 02-Nov-1939",1939,"SAMOA","",""
"4769","Reported 25-Oct-1939",1939,"AUSTRALIA","Queensland","Near Restoration Rock off Portland Roads "
"4770","04-Oct-1939",1939,"USA","Hawaii","Kane'ohe Bay, Mokapu, O'ahu"
"4771","Reported 27-Sep-1939",1939,"AUSTRALIA","Torres Strait ","Near Mabuiag Island"
"4772","01-Aug-1939",1939,"USA","California","Off San Pedro, Los Angeles County"
"4773","18-Jul-1939",1939,"PACIFIC OCEAN","",""
"4774","16-Jul-1939",1939,"BAHAMAS","Andros Islands","Blue Hole"
"4775","14-Jul-1939",1939,"USA","Texas","West Bay, 19 miles from Galveston"
"4776","03-May-1939",1939,"USA","Virginia","At sea, several hundred miles south east of Cape Henry, Virginia"
"4777","12-Apr-1939",1939,"PAPUA NEW GUINEA","Morobe Province","Bulolol"
"4778","24-Mar-1939",1939,"PAPUA NEW GUINEA","Central Province","Port Moresby"
"4779","26-Feb-1939",1939,"INDIA","Tamil Nadu"," Chennai (formerly Madras)"
"4780","26-Feb-1939",1939,"NEW ZEALAND","North Island","Matakana River Mouth"
"4781","12-Jan-1939",1939,"AUSTRALIA","New South Wales","Clarence River"
"4782","Woirld War II",1939,"SRI LANKA","",""
"4783","Ca. 1939",1939,"BAHAMAS","Andros Islands","Middle Bight"
"4784","1939",1939,"VENEZUELA","Carabobo","El Falito, near Puerto Cabello"
"4785","1939",1939,"CURACAO","Ascension Bay",""
"4786","1939",1939,"PAPUA NEW GUINEA","Abau Sub District, Central Province","Aroma Passage"
"4787","27-Dec-1938",1938,"AUSTRALIA","New South Wales","North Beach, Belligen River"
"4788","05-Oct-1938",1938,"AUSTRALIA","Queensland","Between Wynnum & St. Helena Island"
"4789","29-Aug-1938",1938,"CHINA","North China","Outer harbor, Hong Kong"
"4790","18-Aug-1938",1938,"USA","California","Near Encino, Los Angeles County"
"4791","18-Jul-1938",1938,"USA","South Carolina","Charleston"
"4792","Reported 17-Jul-1938",1938,"TURKEY","",""
"4793","17-Jul-1938",1938,"USA","California","Dana Point, Orange County"
